TIME,ARG,AUS,AUT,BEL,BGR,CAN,CHE,CRI,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IRL,ISL,ISR,ITA,JPN,KOR,LUX,LVA,MEX,NLD,NOR,NZL,POL,PRT,ROU,SVK,SVN,SWE,USA,ZAF
1997-Q4,1.351457572,1.447318598,0.992660856,0.556978064,-3.357688466,0.968322222,0.761669603,3.380456812,0.756802935,-0.013656432,1.366050308,3.131920579,2.946020128,0.98975339,1.45499958,0.953433782,0.641314973,0.843336774,-0.513920728,1.627774888,2.90897562,1.776445064,1.797916923,0.042180285,-0.455994331,1.120175665,0.282946085,2.479841987,1.282980368,1.419936855,-0.194719661,1.711593772,0.672324286,-0.290502125,-0.536726902,0.367747668,2.012256825,0.858743563,0.013815329
1998-Q1,0.517421564,0.672239126,0.846086615,0.259883446,11.696016112,1.41241503,0.946181857,2.304890379,0.938915436,1.507787696,0.881427181,0.818748026,-0.728759332,0.936106751,0.600514803,1.20090361,-0.281761836,0.855183841,-7.357209728,2.293163278,-2.578806895,1.437387474,-0.756014947,-1.222607734,-6.818021985,1.072219919,5.748583597,0.92084483,1.349037285,0.968966419,-0.562345785,1.907514426,1.447666569,0.772598249,1.770362294,0.612557638,0.428295599,0.999375401,0.262703844
1998-Q2,1.959505358,0.917922521,1.000693826,0.332521666,-6.533145411,0.053398141,1.106879944,-0.068846427,-0.434083645,-0.7552173,1.134158547,-0.565283365,2.01816089,0.805625605,0.532167608,0.442313892,0.223219901,1.522349122,-7.838990038,2.594145775,10.067048432,0.010618837,0.584501558,-0.441863771,-0.807932069,3.511903992,-0.486548071,0.716764807,0.715690359,1.139085798,0.493392579,0.034419291,1.535719128,-1.250185966,0.00923579,0.724907492,1.341393199,0.925820507,0.141425317
1998-Q3,-0.304614298,1.888914041,0.71655699,0.292275574,0.774985109,0.91021039,-0.017171821,0.629335163,0.473338191,1.837315059,0.945725553,-0.101683574,1.256142814,0.738124012,0.300977384,0.349172632,1.624617377,0.918019489,-1.114245198,3.730053378,-0.342422072,0.933216005,0.137618776,0.182533314,1.747151805,1.849443206,-0.946578334,0.517588976,0.853584161,-1.802816448,0.094748629,0.970823234,1.108503881,-1.023457156,-0.825966136,0.852114644,0.537809526,1.252764553,-0.219033432
1998-Q4,-2.549266052,1.502420262,0.375140205,0.223771857,-1.482982461,1.360670376,-0.126930847,2.826307406,-0.40911843,0.320757081,1.086423705,-1.820651577,0.88646774800000006,0.656846279,0.625417867,0.787992764,1.279860095,0.036096765,-2.792810871,-2.413466776,3.267955141,0.694992346,-0.548654226,0.807460233,2.496049822,0.616306338,-2.583004333,0.135030887,0.915112376,0.51406922,1.012563823,0.328307237,0.753210152,0.304427904,7.555388115,0.754523046,1.164461481,1.616190702,0.096284366
1999-Q1,-1.245853391,0.74349976,0.648448868,1.04496599,-2.325127146,1.813816174,0.121851619,-0.530090835,1.154631146,0.906036323,1.003493424,-0.75795058,1.649363081,1.073914597,0.71753313,0.762331324,-3.229583499,0.050727628,5.647681199,5.651344936,-0.310186112,-0.791303246,0.689512123,-1.378010157,3.03463255,2.745075645,3.478453254,1.010957545,1.666753831,0.856045865,1.186994179,0.816314111,1.32919639,-0.45171505,-3.349537152,1.674921815,1.131500751,0.943826615,0.961068944
1999-Q2,-1.129907359,0.32199007,1.301779157,1.368173585,-2.641357501,0.836544698,0.569655431,1.928262595,4.88e-6,0.516383093,1.192424139,0.87741017,0.531208499,0.275965533,0.404129602,0.93320509,1.075298731,1.036602004,-0.054982737,1.13856254,-2.261945487,4.075347149,0.346684793,0.377979663,4.383164849,2.159141889,-1.546370606,0.591988593,1.112901909,0.045643771,0.827884265,2.070391095,0.52210511,-0.306913688,-1.699675278,4.245525172,0.644448581,0.83500003,0.795890222
1999-Q3,-0.288150498,1.156721982,1.681615996,1.452361037,-0.839934992,1.56467609,0.611845057,0.862901935,1.119865514,0.618053367,1.3303898220000001,1.031385897,0.533205236,1.095096529,1.680630967,0.382797756,-0.562974925,1.891147287,0.273416965,4.052813855,0.739778396,0.322171816,0.882519021,0.532937971,2.781170984,2.875859911,3.569773129,0.976735859,1.37722889,2.065328178,2.802827878,1.974889312,0.980398873,1.017360368,-0.622629345,-2.598252774,0.783109525,1.323027026,1.091897244
1999-Q4,1.672821014,1.70576591,0.278626387,1.18423025,-5.439362568,1.40669634,2.449124996,1.821910436,0.815381615,1.398796059,1.121813248,2.589980767,0.852903935,1.434778305,1.44958507,1.598924514,0.363891105,1.121117707,0.107211652,2.296553467,4.353663215,1.737235096,1.462181135,0.03635992,2.886255375,-0.408235262,3.321483896,0.919768656,1.406875109,1.728707385,1.22377149,1.461200921,0.57433716,0.928906605,-0.45269806,1.75998831,1.855159569,1.642779005,1.099982162
2000-Q1,-0.340002407,0.39996411,0.905240618,0.711111111,10.084678313,1.59973568,0.618217701,0.818026023,1.430528223,0.975099668,1.604993102,3.798032869,2.982422893,1.046736259,1.161303589,0.37966256,2.812371323,0.813768919,3.147464302,0.96555506,-0.072197057,2.187655389,1.112893605,1.698758087,1.895051738,5.175644811,0.848300429,1.880614011,0.62271011,1.512039914,1.455051221,0.72739744,2.2254685850000002,1.040338747,1.06606718,1.08342336,0.71128082,0.364447361,1.168839972
